project_id,n_tasks,n_employees,n_dependencies,det_duration_days,p10,p50,p90,schedule_risk_ratio,det_vs_p50_delta,critical_path_tasks,avg_employee_efficiency,mc_success,error_msg
293cfbb4-9b78-482f-a028-c55b53d8b29a,4,3,3,8,7,8,10,0.25,0,4,2.0,True,
1f207663-3cc8-4364-87f9-15ae40c8855d,5,3,4,15,13,16,18,0.125,1,2,2.0,True,
b5932ab4-ee59-4c81-bcaf-aed59b9be147,5,4,4,146,129,150,175,0.1667,4,2,1.7829,True,
7b8a81bf-f8be-4027-b7e7-670b0ef55e68,6,1,5,34,30,34,40,0.1765,0,2,2.0,True,
55d6d2cc-7e5c-4107-ad12-e52e24ee1eff,3,1,1,1,1,1,1,0.0,0,2,1.0,True,
50ee2af1-d2fc-47c3-95c7-020dc136194e,9,1,6,4,4,4,5,0.25,0,2,1.0,True,
443b1df9-4c90-4dae-8be9-662282042f3a,3,1,2,1,1,1,1,0.0,0,2,1.0,True,
6534ad7f-fe8d-4e36-92ba-d30cca561262,6,2,3,1,1,1,1,0.0,0,2,1.0,True,
599d85fd-4219-4e7e-8458-3a004a6f8df9,6,1,4,1,1,1,1,0.0,0,2,1.0,True,
ed3833c3-45ca-4dd6-b926-6b751f334ad1,8,1,6,3,2,3,3,0.0,0,2,1.0,True,
28eba94a-a817-406e-b6e7-bf70e39c4fcd,4,2,2,1,1,1,1,0.0,0,4,1.0,True,
3d188bbe-ac51-4b76-9b3d-1af79368965b,5,1,3,1,1,1,1,0.0,0,5,1.0,True,
0a4d029b-d533-4fe6-be85-ede722791730,3,1,1,1,1,1,1,0.0,0,2,1.0,True,
a375f3a7-5bdc-483b-a491-68a1ecc41e10,4,2,2,1,1,1,1,0.0,0,2,1.0,True,
d184a15d-3934-485d-b0f2-47312067ce12,2,1,1,2,2,2,2,0.0,0,2,1.0,True,
41158cac-9dfb-4a84-bf84-21b96254d33a,3,1,1,1,1,1,1,0.0,0,2,1.0,True,
1549a1c0-5723-4df9-8f24-21319ac79236,5,1,2,1,1,1,1,0.0,0,4,1.0,True,
c4b7dcba-f73c-40ca-b31d-69353ae810e4,6,2,4,2,2,2,3,0.5,0,2,1.0,True,
67650217-333e-4866-9617-cf93e8453345,2,1,1,2,2,2,2,0.0,0,2,1.0,True,
8f02d262-ff44-4632-bbe3-61b741aa7af3,8,1,5,1,1,1,2,1.0,0,2,1.0,True,
2a22f849-3f35-441f-8423-d89754ffe5e0,5,2,3,1,1,1,2,1.0,0,2,1.0,True,
7b23330e-fb05-42fd-8382-97ea27b29d5d,12,4,9,47,42,49,56,0.1429,2,2,1.3711,True,
d9a6f16e-ce0c-48ed-b5ef-9a1ab8e04fe6,2,1,1,2,1,2,2,0.0,0,2,1.0,True,
6d917dbb-bb8e-4da5-b628-f6d55661081c,5,1,3,1,1,1,1,0.0,0,2,1.0,True,
46c2e5e4-0b0a-4fd9-8013-e8d74a21f71e,2,1,1,1,1,1,1,0.0,0,2,1.0,True,
bb33c414-2f58-40ee-be6c-0461b4eb9fcf,3,1,1,1,1,1,1,0.0,0,2,1.0,True,
7d195f0d-9e40-4e1b-996b-10ef1405bfca,5,1,3,1,1,1,1,0.0,0,2,1.0,True,
4f6c074d-692e-48e9-8799-97103ef9aa60,6,1,5,34,30,34,40,0.1765,0,2,2.0,True,
9616d545-1701-4316-b288-949257da1d80,11,4,8,6,6,6,8,0.3333,0,2,1.0,True,
d5967d69-7d69-4a22-a710-0be2ad632e2c,11,4,8,11,10,12,13,0.0833,1,2,1.0,True,
173c5730-87ce-44d3-8746-d203c4836d1f,16,4,11,1,1,1,2,1.0,0,2,1.0,True,
429701c7-1e4d-4385-b4d6-091082d713b3,13,4,9,1,1,1,1,0.0,0,2,1.0,True,
4dd27b63-901c-4a5d-831b-ebde93f2c9ba,8,3,5,1,1,1,1,0.0,0,8,1.0,True,
37bc2962-8c8e-4e46-95fc-96e87437f420,9,4,6,1,1,1,1,0.0,0,4,1.0,True,
b75d54b7-d729-4e7d-bc5a-d8d438ddc2eb,14,4,11,1,1,1,1,0.0,0,10,1.0,True,
ea99d29c-75dd-4d1e-9a30-4651e0c561f7,60,7,50,213,191,221,253,0.1448,8,2,1.0,True,
905f2545-a1a5-4fc1-8cb6-4237e99419ce,13,4,8,2,2,2,2,0.0,0,2,1.0,True,
cdfad0e9-d85c-41c7-91ee-82fc5e1a76be,2,2,1,12,10,12,14,0.1667,0,2,2.0,True,
366ec93a-b8dd-4137-bd62-5ccc81c23e30,6,3,3,1,1,1,1,0.0,0,6,1.0,True,
2f05240f-b3c1-46ba-a93e-2ca02e6ca448,4,2,2,280,247,288,338,0.1736,8,2,1.0,True,
e9ece161-fb72-4308-859f-4baba9de3f99,10,3,6,5,4,5,6,0.2,0,2,1.9381,True,
715ae0eb-6f45-48bc-9b16-1ce64ddbcf35,7,5,4,5,4,5,6,0.2,0,1,2.0,True,
b32b9fe0-762c-4673-af6f-e0907cac971c,20,5,16,37,32,38,44,0.1579,1,2,2.0,True,
2a10ecc9-ab1e-4555-856b-ff2727b6f723,2,1,1,1,1,1,2,1.0,0,2,1.0,True,
8b714db6-f51a-4a99-a65c-fe9bf64beaee,25,3,18,6,5,6,7,0.1667,0,2,1.1542,True,
fd69a8e5-115a-463c-80dc-afacc1020d1b,12,8,10,36,32,37,42,0.1351,1,2,2.0,True,
7a714ea6-80fb-46bc-9f08-3c7392201028,6,1,5,26,22,27,31,0.1481,1,2,2.0,True,
0253cee3-bfcf-4638-89bd-7346aa17b02e,24,4,20,70,63,73,84,0.1507,3,2,1.7858,True,
f4bab037-a4fe-4966-a3b3-a0ebb97963b9,9,2,7,17,15,18,21,0.1667,1,2,1.8795,True,
2a3a32b0-5515-427f-9a71-8d90e19c156e,8,7,2,52,43,53,65,0.2264,1,1,1.4809,True,
513ca391-803f-4507-bf53-d98d1c74fc47,13,6,7,15,13,15,17,0.1333,0,2,1.7809,True,
aa0ef1a9-c782-427e-84c8-8a1d4f533235,5,2,4,22,20,23,26,0.1304,1,2,2.0,True,
9c372116-a733-4a96-8f14-cf0f382ba8b6,8,3,0,6,5,6,8,0.3333,0,1,1.85,True,
2f829e79-64e0-43d7-b396-55fda00744f6,34,16,28,49,44,51,60,0.1765,2,2,1.5727,True,
